#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1           0
           9         1.1         1.1           0
          10         1.1         1.1 4.71216e-09
          11         1.1         1.1 4.49287e-09
          12         1.1         1.1 4.30159e-09
          13         1.1         1.1 5.84472e-09
          14         1.1         1.1 5.63211e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1 4.96705e-09
          19         1.1         1.1 4.83458e-09
          20         1.1         1.1 4.71216e-09
